"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"5/19/2021","1621382400","115943884.21875","283238.1553191421875","2,442.89"
"5/20/2021","1621468800","115957427.71875","321531.39387565875","2,772.84"
"5/21/2021","1621555200","115970808.46875","282488.653516689375","2,435.86"
"5/22/2021","1621641600","115984316.71875","266419.4550324703125","2,297.03"
"5/23/2021","1621728000","115997774.03125","243429.4486487603125","2,098.57"
"5/24/2021","1621814400","116011279.59375","307287.1970495371875","2,648.77"
"5/25/2021","1621900800","116024591.09375","314135.4201404171875","2,707.49"
"5/26/2021","1621987200","116037982.40625","335226.768892711875","2,888.94"
"5/27/2021","1622073600","116051361.84375","318268.5388292475","2,742.48"
"5/28/2021","1622160000","116064851.53125","279990.20523992625","2,412.36"
"5/29/2021","1622246400","116078377.84375","264493.870187211875","2,278.58"
"5/30/2021","1622332800","116091813.46875","277100.7104866940625","2,386.91"
"5/31/2021","1622419200","116105204.53125","314340.908643815625","2,707.38"
"6/1/2021","1622505600","116118666.40625","305883.2746073359375","2,634.23"
"6/2/2021","1622592000","116132236.96875","314314.22200066125","2,706.52"
"6/3/2021","1622678400","116145611.71875","331713.0285248671875","2,856.01"
"6/4/2021","1622764800","116159222.96875","312604.2160768109375","2,691.17"
"6/5/2021","1622851200","116172579.46875","305506.00258374","2,629.76"
"6/6/2021","1622937600","116186167.65625","314979.5386544171875","2,710.99"
"6/7/2021","1623024000","116199570.90625","301319.431308415","2,593.12"
"6/8/2021","1623110400","116213049.15625","291605.2693343371875","2,509.23"
"6/9/2021","1623196800","116226463.03125","303425.4534479025","2,610.64"
"6/10/2021","1623283200","116239838.46875","287293.73516582375","2,471.56"
"6/11/2021","1623369600","116253287.53125","273786.9549319715625","2,355.09"
"6/12/2021","1623456000","116266684.65625","275507.861295143125","2,369.62"
"6/13/2021","1623542400","116280119.90625","291828.216928715625","2,509.70"
"6/14/2021","1623628800","116293617.90625","300284.07666808625","2,582.12"
"6/15/2021","1623715200","116307193.78125","295838.9781019875","2,543.60"
"6/16/2021","1623801600","116320520.65625","275412.096757803125","2,367.70"
"6/17/2021","1623888000","116334034.65625","275980.3937553684375","2,372.31"
"6/18/2021","1623974400","116347333.59375","259869.9138949921875","2,233.57"
"6/19/2021","1624060800","116360791.34375","252108.4541332821875","2,166.61"
"6/20/2021","1624147200","116374246.78125","261097.2600784125","2,243.60"
"6/21/2021","1624233600","116387448.03125","219726.6992637165625","1,887.89"
"6/22/2021","1624320000","116400934.03125","218930.3687539959375","1,880.83"
"6/23/2021","1624406400","116414346.28125","229097.6127641859375","1,967.95"
"6/24/2021","1624492800","116427680.53125","231575.8208534615625","1,989.01"
"6/25/2021","1624579200","116440859.71875","210789.3951230615625","1,810.27"
"6/26/2021","1624665600","116454273.03125","213220.786663836875","1,830.94"
"6/27/2021","1624752000","116467708.40625","230993.9001133678125","1,983.33"
"6/28/2021","1624838400","116481234.28125","242723.59599526875","2,083.80"
"6/29/2021","1624924800","116494588.09375","252281.8449217059375","2,165.61"
"6/30/2021","1625011200","116508045.40625","265188.622470981875","2,276.14"
"7/1/2021","1625097600","116521283.78125","245777.1786669528125","2,109.29"
"7/2/2021","1625184000","116534708.28125","251208.0439064765625","2,155.65"
"7/3/2021","1625270400","116548041.84375","259573.467833563125","2,227.18"
"7/4/2021","1625356800","116561494.40625","270803.8231092084375","2,323.27"
"7/5/2021","1625443200","116574911.53125","256081.2739098121875","2,196.71"
"7/6/2021","1625529600","116588371.03125","270791.6482083121875","2,322.63"
"7/7/2021","1625616000","116601750.84375","270180.24891507","2,317.12"
"7/8/2021","1625702400","116615206.71875","246584.0207588640625","2,114.51"
"7/9/2021","1625788800","116628534.78125","250246.3482240846875","2,145.67"
"7/10/2021","1625875200","116641986.53125","246169.4133146071875","2,110.47"
"7/11/2021","1625961600","116655330.15625","249694.9014329453125","2,140.45"
"7/12/2021","1626048000","116668583.59375","237173.2302160625","2,032.88"
"7/13/2021","1626134400","116681762.78125","226433.7956709215625","1,940.61"
"7/14/2021","1626220800","116695129.40625","232715.760964531875","1,994.22"
"7/15/2021","1626307200","116708552.96875","223866.8450480671875","1,918.17"
"7/16/2021","1626393600","116721807.84375","219092.6694131109375","1,877.05"
"7/17/2021","1626480000","116735021.34375","221791.87115227125","1,899.96"
"7/18/2021","1626566400","116748332.65625","220883.17545231875","1,891.96"
"7/19/2021","1626652800","116761665.03125","212342.76402583125","1,818.60"
"7/20/2021","1626739200","116774881.84375","208620.66191149625","1,786.52"
"7/21/2021","1626825600","116788309.59375","232990.341873339375","1,994.98"
"7/22/2021","1626912000","116801657.65625","236492.988322915625","2,024.74"
"7/23/2021","1626998400","116814891.03125","248298.2279292940625","2,125.57"
"7/24/2021","1627084800","116828333.59375","255384.400669265625","2,185.98"
"7/25/2021","1627171200","116841649.46875","256390.305095256875","2,194.34"
"7/26/2021","1627257600","116854859.84375","260430.9204879703125","2,228.67"
"7/27/2021","1627344000","116867966.78125","269027.722171101875","2,301.98"
"7/28/2021","1627430400","116881086.53125","268957.40583879","2,301.12"
"7/29/2021","1627516800","116894285.96875","278587.13809216375","2,383.24"
"7/30/2021","1627603200","116907382.96875","288850.08554386875","2,470.76"
"7/31/2021","1627689600","116920520.03125","296013.5265891171875","2,531.75"
"8/1/2021","1627776000","116933639.84375","298930.3262329609375","2,556.41"
"8/2/2021","1627862400","116946940.28125","305049.07690722375","2,608.44"
"8/3/2021","1627948800","116960139.34375","293360.5911033871875","2,508.21"
"8/4/2021","1628035200","116973327.53125","318836.53831847875","2,725.72"
"8/5/2021","1628121600","116986560.46875","330981.8864750015625","2,829.23"
"8/6/2021","1628208000","116999992.90625","338406.09948232125","2,892.36"
"8/7/2021","1628294400","117013576.78125","370047.2456203284375","3,162.43"
"8/8/2021","1628380800","117027089.15625","352690.3899446484375","3,013.75"
"8/9/2021","1628467200","117040638.59375","370426.598710903125","3,164.94"
"8/10/2021","1628553600","117054187.09375","367745.6279668215625","3,141.67"
"8/11/2021","1628640000","117067500.65625","370897.9382791575","3,168.24"
"8/12/2021","1628726400","117081067.59375","356779.9664677584375","3,047.29"
"8/13/2021","1628812800","117094560.34375","389252.763168314375","3,324.26"
